CODE_LIGNE,LIB_LIGNE,origin,destination
060000,Ligne d'Épinal à Bussang,,
062000,Ligne d'Arches à St-Dié,,
063000,Ligne de Laveline-devant-Bruyères à Gérardmer,Laveline-devant-Bruyères,Gérardmer
067000,Ligne de Lunéville à St-Dié,Lunéville,St-Dié
070000,Ligne de Noisy-le-Sec à Strasbourg-Ville,Noisy-le-Sec,Strasbourg-Ville
070331,Raccordement de Toul n° 1,,
070336,Raccordement direct de Frouard,,
070346,Raccordement de Strasbourg-Cronenbourg à Strasbourg-Ville,,
070953,Saut-de-mouton de Toul,,
071000,Ligne d'Esbly à Crécy-la-Chapelle,,
072000,Ligne du Trilport à Bazoches,,
072311,Raccordement d'Ocquerre,,
074000,Ligne d'Épernay à Reims,,
074306,Raccordement d'Épernay,,
076000,Ligne d'Aulnay-sous-Bois à Roissy 2-RER,,
081000,Ligne de Châlons-en-Champagne à Reims-Cérès,Châlons-en-Champagne,Reims-Cérès
082000,Ligne de Reims à Laon,Reims,Laon
085000,Ligne de St-Hilaire-au-Temple à Hagondange,St-Hilaire-au-Temple,Hagondange
088000,Ligne de Lérouville à Pont-Maugis,Lérouville,Pont-Maugis
089000,Ligne de Lérouville à Metz-Ville,Lérouville,Metz-Ville
089306,Raccordement de Lérouville n° 2,,
090000,Ligne de Frouard à Novéant,Frouard,Novéant
095000,Ligne de Longuyon à Onville et Pagny-sur-Moselle,Longuyon,Onville et Pagny-sur-Moselle
097000,Ligne de Champigneulles à Sarralbe,Champigneulles,Sarralbe
099000,Ligne de Metz-Ville à Château-Salins,Metz-Ville,Château-Salins
110000,Ligne de Strasbourg-Ville à St-Dié,Strasbourg-Ville,St-Dié
110306,Raccordement de Strasbourg à Koenigshoffen-Nord,,
110311,Raccordement de Strasbourg à Koenigshoffen-Sud,,
111000,Ligne de Sélestat à Saverne,Sélestat,Saverne
114300,Raccordement de Sarrebourg à Sarraltroff,,
115000,Ligne de Strasbourg-Ville à St-Louis,Strasbourg-Ville,St-Louis
115306,Raccordement de Mulhouse-Dornach à Mulhouse-Nord,,
116000,Ligne de Sélestat à Lesseux-Frapelle,Sélestat,Lesseux-Frapelle
119000,Ligne de Colmar-Central à Metzeral,Colmar-Central,Metzeral
120000,Ligne de Colmar-Central à Neuf-Brisach,Colmar-Central,Neuf-Brisach
121000,Ligne de Colmar-Sud à Bollwiller,Colmar-Sud,Bollwiller
123000,Ligne de Neuf-Brisach à Bantzenheim,Neuf-Brisach,Bantzenheim
124000,Ligne de Mulhouse-Ville à Chalampé,Mulhouse-Ville,Chalampé
125000,Ligne de Lutterbach à Rixheim,Lutterbach,Rixheim
125306,Raccordement de la bifurcation de Wanne à Mulhouse-Ville,,
130000,Ligne de Lutterbach à Kruth,Lutterbach,Kruth
132000,Ligne de Lutterbach à Rond point Stricker,Lutterbach,Rond point Stricker
136000,Ligne de St-Louis à Huningue,St-Louis,Huningue
138000,Ligne de Graffenstaden à Hausbergen,Graffenstaden,Hausbergen
139301,Raccordement de Hausbergen à Strasbourg-Cronenbourg Voie H,,
139302,Raccordement de Strasbourg-Cronenbourg à Strasbourg-Koenigshoffen VK,,
140000,Ligne de Réding à Metz-Ville,Réding,Metz-Ville
141000,Ligne de Graffenstaden à Strasbourg-Neudorf,Graffenstaden,Strasbourg-Neudorf
141306,Raccordement de Strasbourg-Neudorf à Strasbourg-Koenigshoffen,,
142000,Ligne de Strasbourg-Ville à Strasbourg-Port-du-Rhin,Strasbourg-Ville,Strasbourg-Port-du-Rhin
145000,Ligne de Strasbourg à Lauterbourg,Strasbourg,Lauterbourg
145306,Raccordement de Bischheim,,
146000,Ligne de Vendenheim à Wissembourg,Vendenheim,Wissembourg
150000,Ligne de Haguenau à Roeschwoog et frontière,Haguenau,Roeschwoog et frontière
159000,Ligne de Haguenau à Hargarten-Falck,Haguenau,Hargarten-Falck
